response_id,research_id,respondent_id,object,translated_response,combined_response,final_response,originality_rater02,utility_rater02,originality_rater01,utility_rater01
330,CEG202512,cmpl-4zrb7jeIL1TFrfKlWLLLftejtTyZb,fork,If you're ever in pinch and need to open bottle of wine use fork! Stick fork into cork and twist it until cork pops out,use fork as If you're ever in pinch and need to open bottle of wine use fork! Stick fork into cork and twist it until cork pops out,use fork to If you're ever in pinch and need to open bottle of wine use fork! Stick fork into cork and twist it until cork pops out,2,4,2,4
331,CEG202513,cmpl-4zrb7jeIL1TFrfKlWLLLftejtTyZb,fork,Use fork,use fork as Use fork,use fork as Use fork,1,5,1,5
332,CEG202514,cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL,fork,eat food,use fork as eat food,use fork as eat food,1,5,1,5
333,CEG202515,cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL,fork,pick up food that has fallen on ground,use fork as pick up food that has fallen on ground,use fork as pick up food that has fallen on ground,2,5,2,5
334,CEG202516,cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL,fork,help cut food into smaller pieces,use fork as help cut food into smaller pieces,use fork as help cut food into smaller pieces,1,5,1,5
335,CEG202517,cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL,fork,shovel to scoop up food onto your plate,use fork as shovel to scoop up food onto your plate,use fork as shovel to scoop up food onto your plate,1,5,1,5
337,CEG202518,cmpl-4zrbJ1ywGvexOFDxf6gmBhbuPPecR,can,Tin Can Telephone,use can as Tin Can Telephone,use can as Tin Can Telephone,2,4,2,4
338,CEG202519,cmpl-4zrbN3psnyAw89kktoFkUMgimFZjc,can, vase for flowers,use can as  vase for flowers,use can for  vase for flowers,3,4,3,4
339,CEG202520,cmpl-4zrbN3psnyAw89kktoFkUMgimFZjc,can,pen holder on desk,use can as pen holder on desk,use can as pen holder on desk,2,5,2,5
340,CEG202521,cmpl-4zrbN3psnyAw89kktoFkUMgimFZjc,can,store loose change,use can as store loose change,use can as store loose change,2,5,2,5
341,CEG202522,cmpl-4zrbN3psnyAw89kktoFkUMgimFZjc,can,hold toothpicks on countertop,use can as hold toothpicks on countertop,use can as hold toothpicks on countertop,2,5,2,5
342,CEG202523,cmpl-4zrbN3psnyAw89kktoFkUMgimFZjc,can,planter for small plants or,use can as planter for small plants or,use can for planter for small plants or,3,4,3,4
343,CEG202524,cmpl-4zrbRsbIaGxBqfOccYpoUD0CMO0xl,can,telephone,use can as telephone,use can as telephone,NA,NA,3,3
344,CEG202525,cmpl-4zrbRsbIaGxBqfOccYpoUD0CMO0xl,can,candle holder,use can as candle holder,use can as candle holder,2,4,3,5
345,CEG202526,cmpl-4zrbRsbIaGxBqfOccYpoUD0CMO0xl,can,pen/pencil holder,use can as pen/pencil holder,use can as pen/pencil holder,2,5,2,5
346,CEG202527,cmpl-4zrbRsbIaGxBqfOccYpoUD0CMO0xl,can,vase,use can as vase,use can as vase,NA,NA,3,5
347,CEG202528,cmpl-4zrbRsbIaGxBqfOccYpoUD0CMO0xl,can,bird feeder,use can as bird feeder,use can as bird feeder,NA,NA,3,4
348,CEG202529,cmpl-4zrbRsbIaGxBqfOccYpoUD0CMO0xl,can,planter,use can as planter,use can as planter,NA,NA,3,5
349,CEG202530,cmpl-4zrbRsbIaGxBqfOccYpoUD0CMO0xl,can,wind chime,use can as wind chime,use can as wind chime,NA,NA,4,3
350,CEG202531,cmpl-4zrbRsbIaGxBqfOccYpoUD0CMO0xl,can,homemade musical instrument,use can as homemade musical instrument,use can as homemade musical instrument,NA,NA,3,4
351,CEG202532,cmpl-4zrbRsbIaGxBqfOccYpoUD0CMO0xl,can,storage container,use can as storage container,use can as storage container,NA,NA,1,5
352,CEG202533,cmpl-4zrbTqtxt7KQ7CDXrryUu5jgWJ69a,can,vase,use can as vase,use can as vase,NA,NA,3,5
353,CEG202534,cmpl-4zrbTqtxt7KQ7CDXrryUu5jgWJ69a,can,planter,use can as planter,use can as planter,NA,NA,3,5
354,CEG202535,cmpl-4zrbTqtxt7KQ7CDXrryUu5jgWJ69a,can,hold pens and pencils,use can as hold pens and pencils,use can as hold pens and pencils,2,5,2,5
355,CEG202536,cmpl-4zrbTqtxt7KQ7CDXrryUu5jgWJ69a,can,coin bank,use can as coin bank,use can as coin bank,NA,NA,2,5
356,CEG202537,cmpl-4zrbTqtxt7KQ7CDXrryUu5jgWJ69a,can,candle holder,use can as candle holder,use can as candle holder,2,4,3,5
358,CEG202538,cmpl-4zrbYEeeRyYskiBlOLBZdW7zFQkf8,can,vase for flowers,use can as vase for flowers,use can for vase for flowers,NA,NA,3,5
359,CEG202539,cmpl-4zrbYEeeRyYskiBlOLBZdW7zFQkf8,can,candle holder,use can as candle holder,use can as candle holder,2,4,2,4
360,CEG202540,cmpl-4zrbYEeeRyYskiBlOLBZdW7zFQkf8,can,store small items such as buttons beads and other craft supplies,use can as store small items such as buttons beads and other craft supplies,use can as store small items such as buttons beads and other craft supplies,2,5,2,5
361,CEG202541,cmpl-4zrbYEeeRyYskiBlOLBZdW7zFQkf8,can,It makes great piggy bank,use can as It makes great piggy bank,use can as It makes great piggy bank,2,4,2,4
362,CEG202542,cmpl-4zrbYEeeRyYskiBlOLBZdW7zFQkf8,can,planter for small plants,use can as planter for small plants,use can for planter for small plants,3,4,3,4
363,CEG202543,cmpl-4zrbcJSjnrQGQryl58b1WsAPwo0An,can,be used as small planter for succulents or cacti,use can as be used as small planter for succulents or cacti,use can for be used for small planter for succulents or cacti,3,4,3,4
364,CEG202544,cmpl-4zrbcJSjnrQGQryl58b1WsAPwo0An,can,be used as pencil holder on desk,use can as be used as pencil holder on desk,use can as be used as pencil holder on desk,2,5,2,5
365,CEG202545,cmpl-4zrbcJSjnrQGQryl58b1WsAPwo0An,can,cut in half and used as salt and pepper shakers,use can as cut in half and used as salt and pepper shakers,use can as cut in half and used as salt and pepper shakers,2,4,2,4
366,CEG202546,cmpl-4zrbcJSjnrQGQryl58b1WsAPwo0An,can,be used to hold paperclips or other small office supplies,use can as be used to hold paperclips or other small office supplies,use can as be used to hold paperclips or other small office supplies,2,5,2,5
368,CEG202547,cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW,can,telephone,use can as telephone,use can as telephone,NA,NA,3,3
369,CEG202548,cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW,can,lantern,use can as lantern,use can as lantern,NA,NA,3,4
370,CEG202549,cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW,can,plant pot,use can as plant pot,use can as plant pot,NA,NA,3,5
371,CEG202550,cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW,can,vase,use can as vase,use can as vase,NA,NA,3,5
372,CEG202551,cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW,can,bird feeder,use can as bird feeder,use can as bird feeder,NA,NA,3,4
373,CEG202552,cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW,can,ashtray,use can as ashtray,use can as ashtray,2,5,2,5
372,CEG202550,cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW,can,stationery holder,use can as stationery holder,use can as stationery holder,NA,NA,2,5
373,CEG202550,cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW,can,pen holder,use can as pen holder,use can as pen holder,NA,NA,2,5
374,CEG202553,cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW,can,pencil holder,use can as pencil holder,use can as pencil holder,2,5,2,5
375,CEG202554,cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW,can,paintbrush holder,use can as paintbrush holder,use can as paintbrush holder,NA,NA,3,5
376,CEG202555,cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW,can,coin bank,use can as coin bank,use can as coin bank,NA,NA,2,5
377,CEG202556,cmpl-4zrbjCwsB0SqWvKxicy8LGk53flyr,can,small planter for succulents or cacti,use can as small planter for succulents or cacti,use can for small planter for succulents or cacti,3,4,3,5
378,CEG202557,cmpl-4zrbjCwsB0SqWvKxicy8LGk53flyr,can,pencil holder by painting it and adding some fun embellishments,use can as pencil holder by painting it and adding some fun embellishments,use can as pencil holder by painting it and adding some fun embellishments,2,5,2,5
379,CEG202558,cmpl-4zrbjCwsB0SqWvKxicy8LGk53flyr,can,make your own mini pinata filled with candy or other treats,use can as make your own mini pinata filled with candy or other treats,use can to make your own mini pinata filled with candy or other treats,NA,NA,4,3
380,CEG202559,cmpl-4zrbjCwsB0SqWvKxicy8LGk53flyr,can,Cut out stars from paper and glue them onto,use can as Cut out stars from paper and glue them onto,use can as Cut out stars from paper and glue them onto,2,4,2,4
381,CEG202560,cmpl-4zrboUMyMByxhbrNsfLQZLnzSQJGu,can,vase for flowers,use can as vase for flowers,use can for vase for flowers,3,4,3,4
382,CEG202561,cmpl-4zrboUMyMByxhbrNsfLQZLnzSQJGu,can,candle holder,use can as candle holder,use can as candle holder,2,4,2,4
383,CEG202562,cmpl-4zrboUMyMByxhbrNsfLQZLnzSQJGu,can,hold pencils or pens on desk,use can as hold pencils or pens on desk,use can as hold pencils or pens on desk,2,5,2,5
384,CEG202563,cmpl-4zrboUMyMByxhbrNsfLQZLnzSQJGu,can,hold makeup brushes on vanity,use can as hold makeup brushes on vanity,use can as hold makeup brushes on vanity,2,5,2,5
385,CEG202564,cmpl-4zrboUMyMByxhbrNsfLQZLnzSQJGu,can,store coins or other small items,use can as store coins or other small items,use can as store coins or other small items,2,5,1,5
387,CEG202565,cmpl-4zrbtwe2uJcyLmGuEpGSsyDFGMDBA,can,coin bank,use can as coin bank,use can as coin bank,2,5,2,5
388,CEG202566,cmpl-4zrbtwe2uJcyLmGuEpGSsyDFGMDBA,can,store pencils and pens,use can as store pencils and pens,use can as store pencils and pens,2,5,2,5
389,CEG202567,cmpl-4zrbtwe2uJcyLmGuEpGSsyDFGMDBA,can,vase for flowers,use can as vase for flowers,use can for vase for flowers,3,4,3,4
390,CEG202568,cmpl-4zrbtwe2uJcyLmGuEpGSsyDFGMDBA,can,container for homemade candles,use can as container for homemade candles,use can for container for homemade candles,2,4,2,4
391,CEG202569,cmpl-4zrbtwe2uJcyLmGuEpGSsyDFGMDBA,can,planter for small plants or herbs,use can as planter for small plants or herbs,use can for planter for small plants or herbs,3,4,3,4
393,CEG202570,cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil,can,Make tin can telephone,use can as Make tin can telephone,use can as Make tin can telephone,2,4,2,4
394,CEG202571,cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil,can,coin bank,use can as coin bank,use can as coin bank,2,5,2,5
395,CEG202572,cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil,can,Turn it into vase or planter,use can as Turn it into vase or planter,use can as Turn it into vase or planter,3,4,3,4
396,CEG202573,cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil,can,Make lantern out of it,use can as Make lantern out of it,use can as Make lantern out of it,3,4,3,4
397,CEG202574,cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil,can,as part of homemade wind chime or mobile,use can as as part of homemade wind chime or mobile,use can as as part of homemade wind chime or mobile,3,3,3,3
398,CEG202575,cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil,can,Decorate it and use it as gift box or jewelry holder,use can as Decorate it and use it as gift box or jewelry holder,use can to Decorate it and use it to gift box or jewelry holder,2,4,2,4
399,CEG202576,cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil,can,Fill,use can as Fill,use can as Fill,NA,NA,1,5
400,CEG202577,cmpl-4zrc1U1RBUdlbhTUgAPDFfMfYh1z4,can,vase for flowers,use can as vase for flowers,use can for vase for flowers,NA,NA,3,5
401,CEG202578,cmpl-4zrc1U1RBUdlbhTUgAPDFfMfYh1z4,can,hold pens and pencils,use can as hold pens and pencils,use can as hold pens and pencils,2,5,2,5
402,CEG202579,cmpl-4zrc1U1RBUdlbhTUgAPDFfMfYh1z4,can,coin bank,use can as coin bank,use can as coin bank,NA,NA,2,5
403,CEG202580,cmpl-4zrc1U1RBUdlbhTUgAPDFfMfYh1z4,can,make wind chime,use can as make wind chime,use can to make wind chime,3,3,3,3
404,CEG202581,cmpl-4zrc1U1RBUdlbhTUgAPDFfMfYh1z4,can,make candle holder,use can as make candle holder,use can to make candle holder,2,4,2,4
406,CEG202582,cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm,can,telephone,use can as telephone,use can as telephone,NA,NA,3,3
407,CEG202583,cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm,can,candle holder,use can as candle holder,use can as candle holder,2,4,3,5
408,CEG202584,cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm,can,plant pot,use can as plant pot,use can as plant pot,NA,NA,3,5
409,CEG202585,cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm,can,pencil holder,use can as pencil holder,use can as pencil holder,2,5,2,5
410,CEG202586,cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm,can,coin bank,use can as coin bank,use can as coin bank,NA,NA,2,5
411,CEG202587,cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm,can,picture frame,use can as picture frame,use can as picture frame,4,3,4,2
412,CEG202588,cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm,can,vase,use can as vase,use can as vase,NA,NA,3,5
413,CEG202589,cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm,can,Travel mug,use can as Travel mug,use can as Travel mug,NA,NA,3,4
414,CEG202590,cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm,can,dog bowl,use can as dog bowl,use can as dog bowl,NA,NA,2,5
415,CEG202591,cmpl-4zrc9anerQX6gOQWAFSdOcaJv26D0,can,Make candle holder by punching holes in top and bottom of can,use can as Make candle holder by punching holes in top and bottom of can,use can as Make candle holder by punching holes in top and bottom of can,2,4,2,4
416,CEG202592,cmpl-4zrc9anerQX6gOQWAFSdOcaJv26D0,can,Turn it into vase or planter,use can as Turn it into vase or planter,use can as Turn it into vase or planter,3,4,3,4
417,CEG202593,cmpl-4zrc9anerQX6gOQWAFSdOcaJv26D0,can,pencil holder on your desk,use can as pencil holder on your desk,use can as pencil holder on your desk,2,5,2,5
418,CEG202594,cmpl-4zrc9anerQX6gOQWAFSdOcaJv26D0,can,Fill it with candy or other small treats and give it as gift,use can as Fill it with candy or other small treats and give it as gift,use can as Fill it with candy or other small treats and give it as gift,3,4,3,4
419,CEG202595,cmpl-4zrc9anerQX6gOQWAFSdOcaJv26D0,can,Decorate it and use it as part of centerpiece or table,use can as Decorate it and use it as part of centerpiece or table,use can to Decorate it and use it to part of centerpiece or table,3,4,3,4
420,CEG202596,cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC,can,telephone,use can as telephone,use can as telephone,NA,NA,3,3
421,CEG202597,cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC,can,lantern,use can as lantern,use can as lantern,NA,NA,3,4
422,CEG202598,cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC,can,stove,use can as stove,use can as stove,NA,NA,2,3
423,CEG202599,cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC,can,wind chime,use can as wind chime,use can as wind chime,NA,NA,4,3
424,CEG202600,cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC,can,pinata,use can as pinata,use can as pinata,NA,NA,4,3
424,CEG202601,cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC,can,pinata,use can as pinata,use can as pinata,NA,NA,4,3
425,CEG202602,cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC,can,planter,use can as planter,use can as planter,NA,NA,3,5
426,CEG202603,cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC,can,bird feeder,use can as bird feeder,use can as bird feeder,NA,NA,3,4
427,CEG202604,cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC,can,candle holder,use can as candle holder,use can as candle holder,2,4,3,5
823,CEG202605,cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC,can,android,use can as android,use can as android,NA,NA,3,2
428,CEG202605,cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC,can,robot,use can as robot,use can as robot,NA,NA,3,2
429,CEG202606,cmpl-4zrcIVXoehFFYCRYyynvdd5IJPIST,can,Make wind chime out of tin cans and metal spoons,use can as Make wind chime out of tin cans and metal spoons,use can as Make wind chime out of tin cans and metal spoons,3,3,3,3
430,CEG202607,cmpl-4zrcIVXoehFFYCRYyynvdd5IJPIST,can,Cut top off tin can and use it as planter for small succulents or cacti,use can as Cut top off tin can and use it as planter for small succulents or cacti,use can to Cut top off tin can and use it to planter for small succulents or cacti,3,4,3,4
431,CEG202608,cmpl-4zrcIVXoehFFYCRYyynvdd5IJPIST,can,cute piggy bank by painting it pink and adding eyes nostrils and coin slot in top,use can as cute piggy bank by painting it pink and adding eyes nostrils and coin slot in top,use can as cute piggy bank by painting it pink and adding eyes nostrils and coin slot in top,2,4,2,4
432,CEG202609,cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt,can,Plant herb garden in tin cans,use can as Plant herb garden in tin cans,use can as Plant herb garden in tin cans,3,4,3,4
433,CEG202610,cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt,can,Make wind chime out of tin cans and beads,use can as Make wind chime out of tin cans and beads,use can as Make wind chime out of tin cans and beads,3,3,3,3
434,CEG202611,cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt,can,Use tin cans as candle holders for outdoor party,use can as Use tin cans as candle holders for outdoor party,use can for Use tin cans for candle holders for outdoor party,2,4,2,4
435,CEG202612,cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt,can,Create mini Zen garden in tin can,use can as Create mini Zen garden in tin can,use can as Create mini Zen garden in tin can,4,3,4,3
436,CEG202613,cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt,can,Make robot out of recycled materials including tin cans,use can as Make robot out of recycled materials including tin cans,use can as Make robot out of recycled materials including tin cans,4,2,4,2
437,CEG202614,cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt,can,night light,use can as night light,use can as night light,NA,NA,3,3
438,CEG202615,cmpl-4zrcS09GhsrrIIplF2CvuIXFdP89x,can,vase for flowers,use can as vase for flowers,use can for vase for flowers,3,4,3,4
439,CEG202616,cmpl-4zrcS09GhsrrIIplF2CvuIXFdP89x,can,hold pens and pencils,use can as hold pens and pencils,use can as hold pens and pencils,2,5,2,5
440,CEG202617,cmpl-4zrcS09GhsrrIIplF2CvuIXFdP89x,can,container for plants,use can as container for plants,use can for container for plants,3,4,3,4
441,CEG202618,cmpl-4zrcS09GhsrrIIplF2CvuIXFdP89x,can,store spices in kitchen,use can as store spices in kitchen,use can as store spices in kitchen,2,5,2,5
442,CEG202619,cmpl-4zrcS09GhsrrIIplF2CvuIXFdP89x,can,organize makeup brushes on vanity table,use can as organize makeup brushes on vanity table,use can as organize makeup brushes on vanity table,2,5,2,5
443,CEG202620,cmpl-4zrcVORSuELIlbtqYbPvYTtqlY04J,can,vase for flowers,use can as vase for flowers,use can for vase for flowers,3,4,3,4
444,CEG202621,cmpl-4zrcVORSuELIlbtqYbPvYTtqlY04J,can,pencil holder on desk,use can as pencil holder on desk,use can as pencil holder on desk,2,5,2,5
445,CEG202622,cmpl-4zrcVORSuELIlbtqYbPvYTtqlY04J,can,hold makeup brushes on dressing table,use can as hold makeup brushes on dressing table,use can as hold makeup brushes on dressing table,2,5,2,5
446,CEG202623,cmpl-4zrcVORSuELIlbtqYbPvYTtqlY04J,can,hold pens and markers in art studio,use can as hold pens and markers in art studio,use can as hold pens and markers in art studio,3,4,3,4
447,CEG202624,cmpl-4zrcVORSuELIlbtqYbPvYTtqlY04J,can,cookie jar,use can as cookie jar,use can as cookie jar,2,5,2,5
448,CEG202625,cmpl-4zrcYjzKqIIyHAfl5D4gYpEMjoKxu,can,planter for small plants or herbs,use can as planter for small plants or herbs,use can for planter for small plants or herbs,3,4,3,4
449,CEG202626,cmpl-4zrcYjzKqIIyHAfl5D4gYpEMjoKxu,can,candle holder,use can as candle holder,use can as candle holder,NA,NA,3,5
449,CEG202627,cmpl-4zrcYjzKqIIyHAfl5D4gYpEMjoKxu,can,candle holder,use can as candle holder,use can as candle holder,NA,NA,3,5
450,CEG202628,cmpl-4zrcYjzKqIIyHAfl5D4gYpEMjoKxu,can,For those who love baking tin can be turned into mini-loaf pan perfect for individual servings,use can as For those who love baking tin can be turned into mini-loaf pan perfect for individual servings,use can for For those who love baking tin can be turned into mini-loaf pan perfect for individual servings,4,3,4,3
452,CEG202629,cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l,can,makeshift candle,use can as makeshift candle,use can as makeshift candle,2,4,2,4
453,CEG202630,cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l,can,store small items like paper clips or jewelry,use can as store small items like paper clips or jewelry,use can as store small items like paper clips or jewelry,2,5,2,5
454,CEG202631,cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l,can,vase for flowers,use can as vase for flowers,use can for vase for flowers,3,4,3,4
455,CEG202632,cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l,can,pen holder,use can as pen holder,use can as pen holder,2,5,2,5
456,CEG202633,cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l,can,coin bank,use can as coin bank,use can as coin bank,2,5,2,5
457,CEG202634,cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l,can,wind chime,use can as wind chime,use can as wind chime,3,3,3,3
458,CEG202635,cmpl-4zrche9QeGMpmfsGYV3xuiIbbFgVW,can,small planter for herbs or succulents,use can as small planter for herbs or succulents,use can for small planter for herbs or succulents,3,4,3,5
459,CEG202636,cmpl-4zrche9QeGMpmfsGYV3xuiIbbFgVW,can,create DIY candle holder or tea light holder,use can as create DIY candle holder or tea light holder,use can as create DIY candle holder or tea light holder,2,4,2,4
460,CEG202637,cmpl-4zrche9QeGMpmfsGYV3xuiIbbFgVW,can,Make mini pinata out of tin can perfect for parties or decoration,use can as Make mini pinata out of tin can perfect for parties or decoration,use can for Make mini pinata out of tin can perfect for parties or decoration,NA,NA,4,3
461,CEG202638,cmpl-4zrche9QeGMpmfsGYV3xuiIbbFgVW,can,Decorate tin can and use it as cute storage for pens pencils,use can as Decorate tin can and use it as cute storage for pens pencils,use can to Decorate tin can and use it to cute storage for pens pencils,2,5,2,5
462,CEG202639,cmpl-4zrckGN0dM4lds8vCNfKvayt3Ir4z,can,Create fun wind chime by painting and decorating tin cans of different sizes then punching holes in top and bottom of each can. Suspend them from string or wire at different lengths to create unique tones,use can as Create fun wind chime by painting and decorating tin cans of different sizes then punching holes in top and bottom of each can. Suspend them from string or wire at different lengths to create unique tones,use can as Create fun wind chime by painting and decorating tin cans of different sizes then punching holes in top and bottom of each can. Suspend them from string or wire at different lengths to create unique tones,3,3,3,3
463,CEG202640,cmpl-4zrckGN0dM4lds8vCNfKvayt3Ir4z,can,Make mini pinata by filling small tin can with candy then covering opening with paper and securing it with tape or glue,use can as Make mini pinata by filling small tin can with candy then covering opening with paper and securing it with tape or glue,use can as Make mini pinata by filling small tin can with candy then covering opening with paper and securing it with tape or glue,NA,NA,4,3
464,CEG202641,cmpl-4zrcoCBzGvxqYvlwl4T1Z9oAXzjjz,can,Make wind chime out of tin can and some string,use can as Make wind chime out of tin can and some string,use can as Make wind chime out of tin can and some string,3,3,3,3
465,CEG202642,cmpl-4zrcoCBzGvxqYvlwl4T1Z9oAXzjjz,can,plant holder by painting it and adding drainage holes,use can as plant holder by painting it and adding drainage holes,use can as plant holder by painting it and adding drainage holes,3,4,3,4
466,CEG202643,cmpl-4zrcoCBzGvxqYvlwl4T1Z9oAXzjjz,can,pencil holder on your desk,use can as pencil holder on your desk,use can as pencil holder on your desk,2,5,2,5
467,CEG202644,cmpl-4zrcoCBzGvxqYvlwl4T1Z9oAXzjjz,can,Make mini trash can out of tin can by decorating it and adding lid,use can as Make mini trash can out of tin can by decorating it and adding lid,use can as Make mini trash can out of tin can by decorating it and adding lid,2,4,2,4
468,CEG202645,cmpl-4zrcoCBzGvxqYvlwl4T1Z9oAXzjjz,can,Create art by,use can as Create art by,use can as Create art by,3,3,3,3
469,CEG202646,cmpl-4zrctu5fEjcEnja4LuWNvzRUHWU31,can,vase for flowers,use can as vase for flowers,use can for vase for flowers,3,4,3,4
470,CEG202647,cmpl-4zrctu5fEjcEnja4LuWNvzRUHWU31,can,container for paintbrushes,use can as container for paintbrushes,use can for container for paintbrushes,2,5,2,5
471,CEG202648,cmpl-4zrctu5fEjcEnja4LuWNvzRUHWU31,can,hold pencils or pens on desk,use can as hold pencils or pens on desk,use can as hold pencils or pens on desk,2,5,2,5
472,CEG202649,cmpl-4zrctu5fEjcEnja4LuWNvzRUHWU31,can,planter for small plants or herbs,use can as planter for small plants or herbs,use can for planter for small plants or herbs,3,4,3,4
473,CEG202650,cmpl-4zrctu5fEjcEnja4LuWNvzRUHWU31,can,store coins,use can as store coins,use can as store coins,2,5,2,5
474,CEG202651,cmpl-4zrcxpMw6Qkz2QWcvYNNxrTQAiJ5G,can,vase,use can as vase,use can as vase,3,4,3,4
475,CEG202652,cmpl-4zrcxpMw6Qkz2QWcvYNNxrTQAiJ5G,can,container for pens and pencils,use can as container for pens and pencils,use can for container for pens and pencils,2,5,2,5
476,CEG202653,cmpl-4zrcxpMw6Qkz2QWcvYNNxrTQAiJ5G,can,coin bank,use can as coin bank,use can as coin bank,2,5,2,5
477,CEG202654,cmpl-4zrcxpMw6Qkz2QWcvYNNxrTQAiJ5G,can,hold keys,use can as hold keys,use can as hold keys,2,5,2,5
478,CEG202655,cmpl-4zrcxpMw6Qkz2QWcvYNNxrTQAiJ5G,can,paperweight,use can as paperweight,use can as paperweight,3,4,3,4
480,CEG202656,cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0,can,Make wind chime out of tin can and some string,use can as Make wind chime out of tin can and some string,use can as Make wind chime out of tin can and some string,3,3,3,3
481,CEG202657,cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0,can,plant pot,use can as plant pot,use can as plant pot,3,4,3,4
482,CEG202658,cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0,can,pencil holder,use can as pencil holder,use can as pencil holder,2,5,2,5
483,CEG202659,cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0,can,Upcycle tin can into vase or candle holder,use can as Upcycle tin can into vase or candle holder,use can as Upcycle tin can into vase or candle holder,2,4,2,4
484,CEG202660,cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0,can,Make your own mini trash can out of old tin can,use can as Make your own mini trash can out of old tin can,use can as Make your own mini trash can out of old tin can,2,5,2,5
485,CEG202661,cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0,can,Create illuminated lantern,use can as Create illuminated lantern,use can as Create illuminated lantern,NA,NA,3,4
486,CEG202662,cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn,can,can opener,use can as can opener,use can as can opener,NA,NA,3,2
487,CEG202663,cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn,can,colander,use can as colander,use can as colander,NA,NA,4,3
488,CEG202664,cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn,can,candle holder,use can as candle holder,use can as candle holder,2,4,3,5
489,CEG202665,cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn,can,vase,use can as vase,use can as vase,NA,NA,3,5
490,CEG202666,cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn,can,pen holder,use can as pen holder,use can as pen holder,2,5,2,5
